Date,ABEV3.SA,ALPA4.SA,ALSO3.SA,ARZZ3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CASH3.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RENT3.SA,RRRP3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SOMA3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VBBR3.SA,VIIA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2021-01-04,14.08571720123291,41.19131088256836,26.654956817626953,64.88744354248047,,37.72999954223633,18.167720794677734,30.544187545776367,17.017210006713867,19.182119369506836,23.62674331665039,8.18586254119873,21.806608200073242,36.81352233886719,21.479999542236328,19.049644470214844,28.430147171020508,12.689863204956055,3.1823694705963135,7.177562236785889,,4.699999809265137,23.034870147705078,5.4191131591796875,17.508264541625977,17.424827575683594,26.733449935913086,20.170000076293945,25.36972427368164,13.468793869018555,35.29128646850586,32.26344299316406,30.883384704589844,8.369999885559082,15.632499694824219,43.9609489440918,21.269567489624023,38.550785064697266,22.76329803466797,18.5210018157959,8.183147430419922,23.959999084472656,14.973456382751465,30.497583389282227,,196.39549255371094,8.61313247680664,27.92988395690918,18.411205291748047,22.82576560974121,35.78066635131836,19.98444938659668,25.181739807128906,9.459513664245605,17.295940399169922,20.978731155395508,51.66919708251953,9.242304801940918,12.13561725616455,11.049583435058594,18.43925666809082,14.960000038146973,23.437646865844727,19.063676834106445,,63.67533874511719,64.90799713134766,36.40999984741211,36.806026458740234,40.16328048706055,20.53958511352539,23.74332046508789,12.8936185836792,55.34646987915039,25.436660766601562,12.85759162902832,26.96407699584961,22.106483459472656,12.484345436096191,67.38026428222656,19.035425186157227,16.170000076293945,38.661563873291016,35.793296813964844,32.80754089355469
2021-01-05,14.385995864868164,41.21108627319336,26.645498275756836,63.89503860473633,,38.20000076293945,18.20347023010254,30.227279663085938,16.935853958129883,19.065166473388672,23.184595108032227,8.022798538208008,21.64261245727539,37.53318405151367,21.309999465942383,19.057804107666016,29.180063247680664,12.479480743408203,3.1089305877685547,7.177562236785889,,4.670000076293945,22.925249099731445,5.3374409675598145,17.389408111572266,17.47980499267578,27.21851921081543,20.229999542236328,24.88013458251953,13.2830171585083,34.97544860839844,31.43036460876465,29.996129989624023,8.569999694824219,15.742500305175781,43.729129791259766,21.316314697265625,37.62630844116211,22.392343521118164,18.969087600708008,8.363452911376953,23.950000762939453,14.585182189941406,31.510177612304688,,193.15957641601562,8.54601764678955,27.74910545349121,18.678604125976562,22.66805076599121,35.433109283447266,20.482574462890625,24.74205780029297,9.399979591369629,17.194366455078125,21.00663948059082,51.37104415893555,9.026908874511719,12.505857467651367,11.481477737426758,18.449182510375977,14.758000373840332,23.372098922729492,19.21299934387207,,62.931976318359375,64.52494049072266,37.59000015258789,36.2597770690918,40.06890869140625,21.483354568481445,23.78688621520996,12.8936185836792,55.09280014038086,25.48291015625,12.563549995422363,26.837804794311523,21.92317771911621,12.618048667907715,68.51480865478516,19.253223419189453,16.219999313354492,38.33335494995117,37.99020004272461,32.97157669067383
2021-01-06,14.67717170715332,38.96609115600586,25.226673126220703,60.11629867553711,,36.66999816894531,17.905540466308594,30.917957305908203,17.36159324645996,19.697038650512695,22.806760787963867,7.908651828765869,20.94446563720703,39.304664611816406,21.25,19.800207138061523,27.063634872436523,12.116092681884766,3.0354909896850586,7.324767589569092,,4.53000020980835,22.91794204711914,5.344062805175781,17.325410842895508,17.438024520874023,28.368595123291016,20.3799991607666,24.239213943481445,13.190129280090332,34.6920280456543,30.923282623291016,29.825502395629883,8.899999618530273,14.9350004196167,43.08516311645508,20.858200073242188,36.100914001464844,21.920211791992188,19.879491806030273,8.68245792388916,23.219999313354492,14.047572135925293,30.838184356689453,,193.4084930419922,8.717535972595215,28.562597274780273,18.513446807861328,23.097396850585938,33.65298080444336,19.974536895751953,23.4429988861084,9.115531921386719,16.68647575378418,20.11353302001953,48.797027587890625,8.953059196472168,12.649840354919434,11.504408836364746,17.506376266479492,14.59000015258789,22.828994750976562,19.093542098999023,,60.321903228759766,60.809349060058594,37.04999923706055,37.50126647949219,39.870731353759766,21.42572021484375,25.067716598510742,12.648492813110352,54.0875244140625,25.52915382385254,12.216046333312988,25.565364837646484,21.65738868713379,13.228057861328125,70.76180267333984,18.974443435668945,15.489999771118164,37.90415573120117,38.99751663208008,31.659276962280273
2021-01-07,14.604377746582031,38.27379608154297,24.77264976501465,60.03995895385742,,36.04999923706055,18.406063079833984,32.14493942260742,17.787342071533203,20.219970703125,23.28910255432129,7.867884635925293,21.07719612121582,42.282958984375,21.93000030517578,20.289705276489258,27.096965789794922,12.077842712402344,3.0599710941314697,7.243549823760986,,4.619999885559082,22.106752395629883,5.204997539520264,17.197412490844727,18.117511749267578,30.14456558227539,19.559999465942383,24.39054298400879,13.718876838684082,34.40049362182617,30.705957412719727,29.262435913085938,8.880000114440918,14.925000190734863,40.92146301269531,20.409435272216797,35.42605209350586,22.019338607788086,21.010385513305664,9.084678649902344,23.399999618530273,14.216818809509277,30.77374839782715,,192.91065979003906,9.068026542663574,29.67436981201172,18.74152183532715,24.32411766052246,34.54304885864258,19.50615119934082,23.143217086791992,9.155221939086914,16.575664520263672,20.094926834106445,48.18085479736328,9.111836433410645,13.0200777053833,11.848395347595215,17.387287139892578,14.805999755859375,22.538719177246094,19.54151153564453,,58.92019271850586,63.691810607910156,36.5,38.0144157409668,39.84242630004883,21.490558624267578,26.209142684936523,12.550442695617676,58.70991134643555,24.78147315979004,12.020021438598633,25.49736976623535,22.317283630371094,13.863138198852539,75.38103485107422,19.322917938232422,15.079999923706055,36.94476318359375,40.60921859741211,32.054901123046875
2021-01-08,15.041145324707031,40.25177001953125,25.68069839477539,61.165950775146484,,36.599998474121094,18.67717742919922,32.331825256347656,17.65023422241211,20.04566192626953,24.012617111206055,7.933111667633057,21.744857788085938,42.49885940551758,21.979999542236328,20.14285659790039,33.06296157836914,12.469916343688965,3.1252503395080566,7.741006374359131,,4.820000171661377,22.961788177490234,5.394831657409668,17.82825469970703,18.08672523498535,30.324512481689453,19.510000228881836,25.556659698486328,14.669195175170898,35.84194564819336,31.674856185913086,30.115568161010742,8.8100004196167,15.619999885559082,41.719970703125,21.04518699645996,37.38594436645508,23.313091278076172,20.697431564331055,8.932112693786621,23.510000228881836,16.735210418701172,32.504371643066406,,199.13357543945312,9.045656204223633,29.665328979492188,19.189807891845703,25.31425666809082,36.535099029541016,19.590412139892578,23.822723388671875,9.267679214477539,17.72072410583496,20.820573806762695,50.40703201293945,9.420775413513184,12.995396614074707,11.894258499145508,17.992664337158203,14.890000343322754,23.194185256958008,19.90984535217285,,60.157562255859375,67.99156188964844,35.5099983215332,37.65024185180664,41.1635856628418,22.585617065429688,27.089168548583984,12.442586898803711,58.98236083984375,25.32103729248047,12.563549995422363,27.197195053100586,22.894691467285156,13.79628849029541,75.1452865600586,19.863056182861328,15.529999732971191,37.912559509277344,43.06515121459961,33.145259857177734
2021-01-11,14.649874687194824,39.37157440185547,24.57401466369629,60.21172332763672,,36.439998626708984,17.90852165222168,31.803651809692383,17.383243560791016,19.68977165222168,23.514196395874023,7.835271835327148,21.23526382446289,42.072593688964844,21.530000686645508,20.477346420288086,38.32904052734375,12.364727020263672,3.0354909896850586,7.471975326538086,,4.619999885559082,22.31137466430664,5.099780082702637,17.371122360229492,17.78546142578125,29.659502029418945,19.079999923706055,24.56857681274414,14.44769287109375,35.14551544189453,30.524852752685547,29.458656311035156,8.609999656677246,15.600000381469727,40.758323669433594,20.624469757080078,35.67565155029297,22.8109130859375,20.128429412841797,8.779544830322266,23.360000610351562,18.15142059326172,31.39051055908203,,189.6747283935547,8.836852073669434,28.996463775634766,19.071840286254883,25.848756790161133,35.13642120361328,21.84560203552246,23.472976684570312,9.234602928161621,17.259008407592773,19.927467346191406,48.797027587890625,9.161069869995117,12.871981620788574,11.794886589050293,18.806455612182617,15.569999694824219,23.072458267211914,19.56142234802246,,59.20053482055664,66.67003631591797,33.5,36.96757888793945,39.21015167236328,22.85218048095703,27.185014724731445,12.599468231201172,57.60129165649414,25.20541763305664,12.474447250366211,27.14862823486328,21.82236099243164,13.96341323852539,75.13053894042969,19.462308883666992,15.119999885559082,37.483367919921875,41.74604797363281,31.446990966796875
2021-01-12,15.286826133728027,39.22322463989258,24.923994064331055,60.88922882080078,,37.720001220703125,18.426918029785156,32.096168518066406,17.39045524597168,19.675249099731445,23.66693878173828,8.145095825195312,21.42400360107422,42.033843994140625,21.360000610351562,20.485506057739258,45.82819747924805,12.527294158935547,3.1170904636383057,7.4415178298950195,,4.650000095367432,22.420997619628906,4.934961318969727,18.42253303527832,18.234060287475586,29.79250144958496,19.639999389648438,25.77920150756836,14.576308250427246,35.3074836730957,31.158714294433594,29.919347763061523,9.289999961853027,16.27750015258789,40.105777740478516,20.624469757080078,36.97917556762695,23.62801742553711,19.573654174804688,8.626978874206543,24.280000686645508,17.672698974609375,32.099327087402344,,193.65740966796875,8.90396785736084,29.08684730529785,19.370695114135742,26.015239715576172,35.51787567138672,24.311439514160156,24.182464599609375,9.399979591369629,17.87770652770996,20.132139205932617,51.14246368408203,9.39738941192627,12.826730728149414,11.706976890563965,19.997365951538086,15.300000190734863,23.48446273803711,20.59673500061035,,62.032955169677734,68.06816101074219,34.029998779296875,37.707096099853516,39.34226989746094,24.03369140625,27.75136947631836,13.040695190429688,57.526126861572266,25.57540512084961,12.465536117553711,27.847986221313477,21.666553497314453,13.771219253540039,73.07510375976562,19.610408782958984,15.170000076293945,37.449703216552734,43.20425796508789,32.904029846191406
2021-01-13,14.713569641113281,39.50013732910156,24.602392196655273,60.87968444824219,,35.959999084472656,18.50139808654785,30.511682510375977,17.065746307373047,19.37747573852539,23.779481887817383,7.990185260772705,21.544322967529297,41.19792938232422,21.239999771118164,20.477346420288086,42.16194152832031,12.469916343688965,3.1660501956939697,7.507506370544434,,4.630000114440918,22.676776885986328,4.812084197998047,18.61452865600586,18.625476837158203,28.36077117919922,19.309999465942383,25.618972778320312,14.433402061462402,35.87434387207031,30.995723724365234,29.72313117980957,9.199999809265137,16.875,40.65529251098633,20.932994842529297,36.276573181152344,23.559926986694336,18.926416397094727,8.405062675476074,23.15999984741211,16.95462417602539,32.209800720214844,,194.15524291992188,8.81447982788086,28.607791900634766,19.551584243774414,25.305490493774414,35.09403991699219,25.550556182861328,24.002593994140625,9.386748313903809,18.662626266479492,19.98328971862793,50.884071350097656,9.580781936645508,12.234349250793457,11.141311645507812,21.4066104888916,15.895999908447266,23.48446273803711,20.606691360473633,,64.1403579711914,68.03944396972656,34.79999923706055,37.44951629638672,39.86130142211914,24.12014389038086,27.315711975097656,13.079915046691895,56.37053298950195,26.068721771240234,12.43880558013916,27.779993057250977,21.5015811920166,12.935586929321289,70.88705444335938,19.349056243896484,14.850000381469727,37.53386688232422,43.304988861083984,32.58560562133789
2021-01-14,14.865978240966797,40.647361755371094,25.65232276916504,63.17936706542969,,38.56999969482422,18.370309829711914,30.438549041748047,17.606945037841797,19.97303009033203,24.101045608520508,8.006492614746094,21.589149475097656,41.5854377746582,21.100000381469727,20.591562271118164,42.41191482543945,13.014997482299805,3.2068495750427246,7.6191792488098145,,4.769999980926514,23.21026039123535,4.933489799499512,18.8065242767334,18.55950927734375,29.252670288085938,20.3700008392334,26.509138107299805,14.51200008392334,36.62745666503906,32.13667297363281,30.729825973510742,9.979999542236328,16.985000610351562,42.24372482299805,21.699634552001953,37.72800827026367,23.69611167907715,19.715904235839844,8.640848159790039,24.200000762939453,17.154090881347656,31.94283103942871,,195.64874267578125,9.008368492126465,29.457441329956055,19.315645217895508,24.902427673339844,36.77244186401367,27.012712478637695,23.71280288696289,9.320597648620605,19.115108489990234,20.411237716674805,50.03931427001953,9.514317512512207,12.283713340759277,11.255974769592285,21.833354949951172,15.600000381469727,24.242937088012695,20.646509170532227,,64.86537170410156,70.79739379882812,36.0,38.26381301879883,40.125526428222656,24.350683212280273,27.52482795715332,13.57016658782959,56.05110168457031,26.02247428894043,12.599191665649414,27.37203598022461,21.373266220092773,13.169564247131348,72.05107116699219,19.453596115112305,14.899999618530273,37.399208068847656,43.10832214355469,34.061946868896484
2021-01-15,14.582554817199707,40.63747787475586,25.463144302368164,64.3244400024414,,37.41999816894531,17.82212257385254,29.495975494384766,16.957504272460938,19.421045303344727,23.594587326049805,7.924959182739258,21.14089584350586,39.55931854248047,20.760000228881836,20.558929443359375,42.99518585205078,12.527294158935547,3.1170904636383057,7.446592807769775,,4.760000228881836,23.561044692993164,4.856967926025391,18.5505313873291,17.908605575561523,26.882102966308594,19.850000381469727,25.44093894958496,14.183319091796875,36.10918045043945,30.868947982788086,29.50131607055664,9.520000457763672,16.704999923706055,42.00331497192383,21.839874267578125,36.41523742675781,23.857830047607422,18.549449920654297,8.183147430419922,23.549999237060547,17.253820419311523,32.03489303588867,,191.9149932861328,8.657876968383789,28.345661163330078,19.20553970336914,25.31425666809082,36.518150329589844,26.834278106689453,23.942636489868164,9.241218566894531,18.74573516845703,19.862346649169922,49.08523941040039,9.406004905700684,11.851767539978027,10.747640609741211,21.585247039794922,14.855999946594238,24.383392333984375,21.114389419555664,,65.1553955078125,67.71383666992188,35.310001373291016,36.60197067260742,40.16328048706055,24.264230728149414,27.080455780029297,14.266324996948242,57.450965881347656,26.02247428894043,12.510087966918945,27.24576187133789,20.78669548034668,12.551197052001953,68.9200210571289,19.00929069519043,14.579999923706055,37.601192474365234,41.32874298095703,32.942630767822266
