Ativo 1;Ativo 2;Valor-p
VIVT3.SA;BBDC3.SA;0.0
VIVT3.SA;BBDC4.SA;0.0
VIVT3.SA;BBSE3.SA;0.0
VIVT3.SA;SANB11.SA;0.0
VIVT3.SA;ITUB4.SA;0.0
VIVT3.SA;CPFE3.SA;0.0
VIVT3.SA;HYPE3.SA;0.0
VIVT3.SA;EQTL3.SA;0.0
VIVT3.SA;ELET6.SA;0.0
VIVT3.SA;EGIE3.SA;0.0
BBAS3.SA;BBDC3.SA;0.0
BBAS3.SA;BBDC4.SA;0.0
BBAS3.SA;TIMS3.SA;0.0
BBAS3.SA;CIEL3.SA;0.0
BBAS3.SA;HYPE3.SA;0.0
BBAS3.SA;EQTL3.SA;0.0
BBDC3.SA;BBSE3.SA;0.0
BBDC3.SA;TIMS3.SA;0.0
BBDC3.SA;SANB11.SA;0.0
BBDC3.SA;HYPE3.SA;0.0
BBDC3.SA;EQTL3.SA;0.0
BBDC3.SA;EGIE3.SA;0.0
BBDC4.SA;BBSE3.SA;0.0
BBDC4.SA;TIMS3.SA;0.0
BBDC4.SA;CMIG4.SA;0.0
BBDC4.SA;SANB11.SA;0.0
BBDC4.SA;ITUB4.SA;0.0
BBDC4.SA;HYPE3.SA;0.0
BBDC4.SA;EQTL3.SA;0.0
BBDC4.SA;ELET6.SA;0.0
BBDC4.SA;EGIE3.SA;0.0
BBSE3.SA;TIMS3.SA;0.0
BBSE3.SA;CMIG4.SA;0.0
BBSE3.SA;SANB11.SA;0.0
BBSE3.SA;ITUB4.SA;0.0
BBSE3.SA;EQTL3.SA;0.0
BBSE3.SA;ELET6.SA;0.0
BBSE3.SA;EGIE3.SA;0.0
TIMS3.SA;SANB11.SA;0.0
TIMS3.SA;ITUB4.SA;0.0
TIMS3.SA;CPFE3.SA;0.0
TIMS3.SA;HYPE3.SA;0.0
TIMS3.SA;EQTL3.SA;0.0
TIMS3.SA;ELET6.SA;0.0
TIMS3.SA;EGIE3.SA;0.0
TIMS3.SA;ELET3.SA;0.0
TAEE11.SA;ITUB4.SA;0.0
TAEE11.SA;CPFE3.SA;0.0
TAEE11.SA;ENGI11.SA;0.0
TAEE11.SA;HYPE3.SA;0.0
TAEE11.SA;EQTL3.SA;0.0
TAEE11.SA;ELET6.SA;0.0
TAEE11.SA;EGIE3.SA;0.0
CIEL3.SA;CMIG4.SA;0.0
CIEL3.SA;SANB11.SA;0.0
CIEL3.SA;ITUB4.SA;0.0
CIEL3.SA;HYPE3.SA;0.0
CIEL3.SA;EQTL3.SA;0.0
CIEL3.SA;ELET6.SA;0.0
CIEL3.SA;EGIE3.SA;0.0
CIEL3.SA;ELET3.SA;0.0
CMIG4.SA;SANB11.SA;0.0
CMIG4.SA;ITUB4.SA;0.0
CMIG4.SA;CPFE3.SA;0.0
CMIG4.SA;HYPE3.SA;0.0
CMIG4.SA;EQTL3.SA;0.0
CMIG4.SA;ELET6.SA;0.0
CMIG4.SA;EGIE3.SA;0.0
SBSP3.SA;SANB11.SA;0.0
SBSP3.SA;ITUB4.SA;0.0
SBSP3.SA;CPLE6.SA;0.0
SBSP3.SA;CPFE3.SA;0.0
SBSP3.SA;ENGI11.SA;0.0
SBSP3.SA;HYPE3.SA;0.0
SBSP3.SA;EQTL3.SA;0.0
SBSP3.SA;ELET6.SA;0.0
SBSP3.SA;EGIE3.SA;0.0
SBSP3.SA;ELET3.SA;0.0
SANB11.SA;ITUB4.SA;0.0
SANB11.SA;CPFE3.SA;0.0
SANB11.SA;HYPE3.SA;0.0
SANB11.SA;EQTL3.SA;0.0
SANB11.SA;ELET6.SA;0.0
SANB11.SA;EGIE3.SA;0.0
CPLE6.SA;ENGI11.SA;0.0
CPLE6.SA;HYPE3.SA;0.0
CPLE6.SA;EQTL3.SA;0.0
CPLE6.SA;ELET6.SA;0.0
CPLE6.SA;EGIE3.SA;0.0
CPFE3.SA;HYPE3.SA;0.0
CPFE3.SA;EQTL3.SA;0.0
CPFE3.SA;ELET6.SA;0.0
CPFE3.SA;EGIE3.SA;0.0
CPFE3.SA;ELET3.SA;0.0
ENGI11.SA;HYPE3.SA;0.0
ENGI11.SA;ELET6.SA;0.0
ENGI11.SA;EGIE3.SA;0.0
ENGI11.SA;ELET3.SA;0.0
HYPE3.SA;EQTL3.SA;0.0
HYPE3.SA;ELET6.SA;0.0
HYPE3.SA;EGIE3.SA;0.0
EQTL3.SA;ELET6.SA;0.0
EQTL3.SA;EGIE3.SA;0.0
EQTL3.SA;ELET3.SA;0.0
ELET6.SA;EGIE3.SA;0.0
ABEV3.SA;EGIE3.SA;0.0
EGIE3.SA;ELET3.SA;0.0
RADL3.SA;ELET3.SA;0.0
CMIN3.SA;BRAP4.SA;0.0
CMIN3.SA;USIM5.SA;0.0
CMIN3.SA;VALE3.SA;0.0
CMIN3.SA;CSNA3.SA;0.0
BRAP4.SA;USIM5.SA;0.0
BRAP4.SA;VALE3.SA;0.0
GGBR4.SA;USIM5.SA;0.0
GGBR4.SA;CSNA3.SA;0.0
GOAU4.SA;CSNA3.SA;0.0
MGLU3.SA;VIIA3.SA;2.0222637222144066e-30
MULT3.SA;RDOR3.SA;2.0404732873582883e-30
CRFB3.SA;CSAN3.SA;2.0415679851161566e-30
CIEL3.SA;SBSP3.SA;2.129086237303792e-30
SMTO3.SA;BRKM5.SA;2.147320613793469e-30
BBDC4.SA;SBSP3.SA;2.326617812925397e-30
PETZ3.SA;SOMA3.SA;2.3278002592478863e-30
CYRE3.SA;MRVE3.SA;2.353605401719753e-30
BBDC3.SA;SBSP3.SA;2.4255027074457633e-30
VIVT3.SA;SBSP3.SA;2.4739291850029594e-30
SUZB3.SA;BRKM5.SA;2.5274941756940435e-30
EMBR3.SA;BRKM5.SA;3.0819774662534364e-30
TAEE11.SA;SBSP3.SA;3.159152115294006e-30
ITSA4.SA;SBSP3.SA;3.1713366330527726e-30
TIMS3.SA;SBSP3.SA;3.491064798193239e-30
BBSE3.SA;SBSP3.SA;3.776510599711895e-30
BBAS3.SA;SBSP3.SA;5.619975827873318e-30
BBSE3.SA;CPLE6.SA;6.653963678564838e-30
BBDC3.SA;BBDC4.SA;7.154829440725079e-30
RENT3.SA;BPAC11.SA;7.553907367824433e-30
CMIG4.SA;CPLE6.SA;1.0588995360234809e-29
CCRO3.SA;BPAC11.SA;1.1261975131482229e-29
VIVT3.SA;CPLE6.SA;1.1677503624898455e-29
B3SA3.SA;BPAC11.SA;1.2112622894776675e-29
RAIZ4.SA;BPAC11.SA;1.2250289933792139e-29
RAIZ4.SA;FLRY3.SA;1.266672363161287e-29
CPFE3.SA;ENGI11.SA;1.5423647090710063e-29
CSAN3.SA;FLRY3.SA;1.799752480956589e-29
CRFB3.SA;RENT3.SA;1.876813330036729e-29
RDOR3.SA;BPAC11.SA;2.0458517962051136e-29
BBAS3.SA;ELET3.SA;2.1076638052391929e-29
TIMS3.SA;CPLE6.SA;2.169744796183091e-29
BBDC3.SA;ELET3.SA;2.1732416618832666e-29
DXCO3.SA;FLRY3.SA;2.2098045229943862e-29
ENEV3.SA;FLRY3.SA;2.260016011704976e-29
CRFB3.SA;BPAC11.SA;2.2617591059739669e-29
SANB11.SA;CPLE6.SA;2.276660597037148e-29
VBBR3.SA;BPAC11.SA;2.2847156554705668e-29
BBDC3.SA;ENGI11.SA;2.4744765694557303e-29
BBAS3.SA;CPFE3.SA;2.535790424851066e-29
DXCO3.SA;RENT3.SA;2.544228167969338e-29
BBAS3.SA;TAEE11.SA;2.552004063352493e-29
BBDC4.SA;ELET3.SA;2.79344876936111e-29
ITSA4.SA;ENGI11.SA;2.8482800539193404e-29
CSAN3.SA;DXCO3.SA;2.890126325650236e-29
RAIL3.SA;FLRY3.SA;2.9315015473499376e-29
MULT3.SA;RENT3.SA;3.0321417803616943e-29
IGTI11.SA;RENT3.SA;3.052167073929294e-29
ITUB4.SA;ENGI11.SA;3.0582037612111255e-29
CMIG4.SA;ENGI11.SA;3.2695405524326514e-29
CSAN3.SA;RENT3.SA;3.2936818518548484e-29
CRFB3.SA;DXCO3.SA;3.3361924811201606e-29
CPLE6.SA;ELET3.SA;3.48295153265046e-29
BBDC4.SA;ENGI11.SA;3.517083131540637e-29
ITSA4.SA;ELET3.SA;3.8157822427834204e-29
ITSA4.SA;ITUB4.SA;3.860227782584296e-29
BBDC3.SA;CPFE3.SA;3.8910359797352404e-29
ITUB4.SA;ELET3.SA;3.948554545535466e-29
BBSE3.SA;ENGI11.SA;3.959897467757293e-29
BPAC11.SA;UGPA3.SA;4.183509546325632e-29
ITUB4.SA;CPFE3.SA;4.268816052639773e-29
BBDC4.SA;CPFE3.SA;4.4083584329340126e-29
TAEE11.SA;CPLE6.SA;4.459466231439349e-29
PCAR3.SA;RENT3.SA;4.6637292833100086e-29
VIVT3.SA;TIMS3.SA;4.75766196238668e-29
PCAR3.SA;BPAC11.SA;4.90488313358828e-29
VIVT3.SA;TAEE11.SA;4.947026938656555e-29
DXCO3.SA;BPAC11.SA;4.955962973094581e-29
CSAN3.SA;CCRO3.SA;5.555324002456926e-29
RAIZ4.SA;DXCO3.SA;5.763057456310954e-29
CIEL3.SA;CPLE6.SA;6.231104043369855e-29
CSAN3.SA;TOTS3.SA;6.359735097009329e-29
BBAS3.SA;EGIE3.SA;6.491074371446623e-29
CPLE6.SA;CPFE3.SA;6.564541010128143e-29
BBSE3.SA;ELET3.SA;6.652832211838389e-29
ITSA4.SA;CPFE3.SA;7.188977877901235e-29
LREN3.SA;PETZ3.SA;7.397746917231248e-29
RAIZ4.SA;RENT3.SA;7.4068590904961e-29
BBAS3.SA;ENGI11.SA;7.470864462719742e-29
BBDC4.SA;TAEE11.SA;7.699929141763029e-29
SANB11.SA;ENGI11.SA;7.784995718300862e-29
BBAS3.SA;ELET6.SA;7.812114327927978e-29
LREN3.SA;SOMA3.SA;7.94267249446213e-29
CSAN3.SA;PCAR3.SA;8.206868469482e-29
BBSE3.SA;CPFE3.SA;8.5811952328861e-29
RAIL3.SA;DXCO3.SA;8.602936392583694e-29
ITUB4.SA;EGIE3.SA;8.64797628358742e-29
CMIG4.SA;ELET3.SA;8.728288898076805e-29
FLRY3.SA;RENT3.SA;8.895068373804087e-29
RAIL3.SA;UGPA3.SA;8.946347404174804e-29
VALE3.SA;CSNA3.SA;9.558105245101074e-29
BBDC3.SA;ELET6.SA;1.012402332628979e-28
ENGI11.SA;EQTL3.SA;1.0163890843189002e-28
ENEV3.SA;RENT3.SA;1.0601849723884562e-28
VIVT3.SA;ENGI11.SA;1.0620571809682137e-28
CCRO3.SA;UGPA3.SA;1.1148570878001936e-28
RDOR3.SA;UGPA3.SA;1.117731349937455e-28
ITSA4.SA;TAEE11.SA;1.139199145875351e-28
BBDC3.SA;TAEE11.SA;1.1454089473737823e-28
RAIZ4.SA;CCRO3.SA;1.1560527965612592e-28
IGTI11.SA;UGPA3.SA;1.161315237961452e-28
TIMS3.SA;TAEE11.SA;1.2040002150569365e-28
CIEL3.SA;CPFE3.SA;1.2430723791206841e-28
ITUB4.SA;ELET6.SA;1.249230186600394e-28
ALSO3.SA;BPAC11.SA;1.2532568221062943e-28
CIEL3.SA;ENGI11.SA;1.2630860880327618e-28
SANB11.SA;ELET3.SA;1.2970598031612356e-28
ITSA4.SA;ELET6.SA;1.3522091131569276e-28
BBSE3.SA;HYPE3.SA;1.3525311970871809e-28
BBSE3.SA;TAEE11.SA;1.5706162032944243e-28
RAIZ4.SA;UGPA3.SA;1.6975717896317692e-28
HYPE3.SA;ELET3.SA;1.7130952102609193e-28
SMTO3.SA;SUZB3.SA;1.772523891482327e-28
RAIL3.SA;CCRO3.SA;1.7832213895063356e-28
TIMS3.SA;ENGI11.SA;1.8499715098401633e-28
CRFB3.SA;PCAR3.SA;1.9207154701126922e-28
FLRY3.SA;UGPA3.SA;1.983954538862567e-28
RAIL3.SA;PCAR3.SA;2.0088636214643786e-28
SOMA3.SA;CYRE3.SA;2.0092218911532996e-28
DXCO3.SA;PCAR3.SA;2.0921572301822357e-28
ABEV3.SA;ELET3.SA;2.2253782655277102e-28
B3SA3.SA;UGPA3.SA;2.265226131045442e-28
VIVT3.SA;ELET3.SA;2.320022757127031e-28
ENEV3.SA;CCRO3.SA;2.439456302974197e-28
ITUB4.SA;HYPE3.SA;2.553202737012334e-28
BBAS3.SA;ITUB4.SA;2.580333778105703e-28
ASAI3.SA;UGPA3.SA;2.6758754508603246e-28
ITUB4.SA;EQTL3.SA;2.954033261171031e-28
ITSA4.SA;EQTL3.SA;3.2530159143134785e-28
GOAU4.SA;USIM5.SA;3.3494185268859154e-28
ITSA4.SA;BBAS3.SA;3.5382249110145654e-28
RAIZ4.SA;RAIL3.SA;3.771454700899182e-28
CSAN3.SA;B3SA3.SA;4.0035495883349563e-28
USIM5.SA;CSNA3.SA;4.164684391102797e-28
CRFB3.SA;VBBR3.SA;4.941989819249761e-28
TAEE11.SA;ELET3.SA;5.638540026881552e-28
JBSS3.SA;MRFG3.SA;6.062130652863143e-28
CRFB3.SA;UGPA3.SA;6.915277107782384e-28
CCRO3.SA;VBBR3.SA;7.780430679544896e-28
RAIZ4.SA;PCAR3.SA;1.0330450939481703e-27
ELET6.SA;ELET3.SA;1.0396232360590249e-27
BRAP4.SA;CSNA3.SA;5.050329599577873e-27
GGBR4.SA;GOAU4.SA;5.921691840793228e-27
KLBN11.SA;BRKM5.SA;2.0143586129348796e-26
PCAR3.SA;FLRY3.SA;3.4363337622345184e-26
MULT3.SA;FLRY3.SA;5.834441193464651e-26
RENT3.SA;CCRO3.SA;2.4034285676884853e-25
MULT3.SA;CCRO3.SA;3.159317819403526e-25
SMTO3.SA;KLBN11.SA;4.17954376740099e-25
DXCO3.SA;VBBR3.SA;7.565059960986889e-25
ALSO3.SA;VBBR3.SA;8.718092798218803e-25
ALSO3.SA;TOTS3.SA;1.1674907854496887e-24
RAIZ4.SA;VBBR3.SA;1.6126023965921077e-24
EMBR3.SA;KLBN11.SA;1.8278459606593994e-24
LREN3.SA;ALPA4.SA;2.0325493243334145e-24
B3SA3.SA;VBBR3.SA;5.00807987005045e-24
TAEE11.SA;SANB11.SA;5.092801219980973e-24
RENT3.SA;TOTS3.SA;2.0580526474574664e-23
WEGE3.SA;RENT3.SA;3.2211592116399746e-22
ITSA4.SA;VIVT3.SA;4.465544410167467e-22
RAIL3.SA;BPAC11.SA;1.1069566834328313e-21
VIVT3.SA;ABEV3.SA;1.230201802372731e-21
LREN3.SA;CYRE3.SA;7.031029913203102e-21
CPFE3.SA;ABEV3.SA;8.053454099166374e-21
TIMS3.SA;ABEV3.SA;8.187878024168539e-21
CMIG4.SA;ABEV3.SA;1.9040423863323075e-20
CPLE6.SA;ABEV3.SA;2.4600548656210045e-20
PETR4.SA;PETR3.SA;3.371566752050491e-20
CIEL3.SA;ABEV3.SA;5.843361778632957e-20
ENGI11.SA;ABEV3.SA;6.222271472019526e-20
ALPA4.SA;CYRE3.SA;8.664739183418949e-20
CRFB3.SA;FLRY3.SA;8.818943677797342e-20
BBDC3.SA;ABEV3.SA;9.458884921793512e-20
TAEE11.SA;ABEV3.SA;9.484899484180444e-20
BBDC4.SA;ABEV3.SA;1.085336619596956e-19
BBAS3.SA;BBSE3.SA;1.2355059284333363e-19
ELET6.SA;ABEV3.SA;1.299570220406989e-19
SBSP3.SA;ABEV3.SA;1.8327538853199517e-19
BBSE3.SA;ABEV3.SA;1.9008380887696106e-19
EQTL3.SA;ABEV3.SA;2.188629478244382e-19
BBAS3.SA;ABEV3.SA;3.12135495754884e-19
HYPE3.SA;ABEV3.SA;3.5297369516126064e-19
SANB11.SA;ABEV3.SA;4.003206926290297e-19
ITSA4.SA;BBSE3.SA;4.836286479078178e-19
KLBN11.SA;SLCE3.SA;1.0072877646790694e-18
BBDC3.SA;ITUB4.SA;1.0189420345003317e-18
ITUB4.SA;ABEV3.SA;1.883625223708776e-18
WEGE3.SA;IGTI11.SA;2.3478430832291428e-18
BBAS3.SA;SANB11.SA;4.048412832586554e-18
