;0
ENEV3.SA/WEGE3.SA;1.811309713328768e-10
ITSA4.SA/BBSE3.SA;1.258869536391316e-10
ENEV3.SA/VBBR3.SA;1.25456117716638e-10
CRFB3.SA/ALSO3.SA;1.1580089664953164e-10
ENEV3.SA/MULT3.SA;1.0824406648790585e-10
PCAR3.SA/WEGE3.SA;7.997238288259823e-11
CSAN3.SA/MULT3.SA;6.889742942828292e-11
CIEL3.SA/SBSP3.SA;6.457292339723253e-11
TIMS3.SA/ABEV3.SA;6.22805279570926e-11
HYPE3.SA/ELET6.SA;6.211653413856766e-11
BBSE3.SA/ITUB4.SA;5.46613240781646e-11
CSAN3.SA/RAIL3.SA;5.446464806935225e-11
ITSA4.SA/TIMS3.SA;4.4910571789236187e-11
CRFB3.SA/WEGE3.SA;4.4121244852091124e-11
TIMS3.SA/CPLE6.SA;3.687649144379357e-11
BBAS3.SA/CPFE3.SA;3.605298698472481e-11
TIMS3.SA/RADL3.SA;3.528794270679647e-11
BRAP4.SA/CSNA3.SA;3.223113789752041e-11
BBDC3.SA/TIMS3.SA;3.156613859189861e-11
BBDC4.SA/EGIE3.SA;3.000321519008864e-11
DXCO3.SA/UGPA3.SA;2.8101304269667615e-11
CIEL3.SA/HYPE3.SA;2.4474004420294015e-11
TIMS3.SA/CPFE3.SA;2.298138415679496e-11
RDOR3.SA/UGPA3.SA;2.0827745778051465e-11
DXCO3.SA/FLRY3.SA;1.950830469388265e-11
HYPE3.SA/ELET3.SA;1.8409197777291553e-11
BBDC3.SA/ELET3.SA;1.8342131632986813e-11
HYPE3.SA/EQTL3.SA;1.6774356209614538e-11
VIVT3.SA/ELET3.SA;1.4938023040755866e-11
CIEL3.SA/ELET6.SA;1.435431461194181e-11
ELET6.SA/EGIE3.SA;1.419951222575433e-11
MULT3.SA/UGPA3.SA;1.3152310837649672e-11
VIVT3.SA/SBSP3.SA;1.0232958577716111e-11
B3SA3.SA/VBBR3.SA;9.447745537294328e-12
BRAP4.SA/USIM5.SA;8.502858139802782e-12
SOMA3.SA/CYRE3.SA;7.830405594766443e-12
RDOR3.SA/ALSO3.SA;7.48177561571417e-12
ENEV3.SA/RENT3.SA;7.278789550257958e-12
B3SA3.SA/UGPA3.SA;6.567414147229389e-12
