;Par;Taxa de Reversao;Tempo Medio de Reversao
7;CPFE3.SA/HYPE3.SA;13109.60739862974;-7.627993498146431e-05
4;ABEV3.SA/RADL3.SA;5805.0455048642825;-0.000172263938183096
10;CMIG4.SA/CPFE3.SA;3888.8902151457505;-0.0002571427694475354
5;DXCO3.SA/RDOR3.SA;3743.9623475529675;-0.000267096703217006
2;CRFB3.SA/ENEV3.SA;2740.1113507581917;-0.0003649486725140929
1;MULT3.SA/RENT3.SA;1929.0616116348424;-0.0005183867606760985
11;MULT3.SA/CCRO3.SA;867.9723365801502;-0.0011521104508238646
12;CSAN3.SA/FLRY3.SA;435.04189420692234;-0.002298629197132822
6;RAIL3.SA/UGPA3.SA;367.1499635241808;-0.0027236826892239065
14;SBSP3.SA/CPLE6.SA;-160.16658184112126;0.006243499664567727
3;EZTC3.SA/MRVE3.SA;-537.3470347787061;0.0018609947301780996
13;ITSA4.SA/ELET6.SA;-2104.038842912086;0.0004752763968064175
9;ITSA4.SA/EGIE3.SA;-8403.191949170852;0.00011900239885614783
0;ITSA4.SA/ABEV3.SA;-8528.562797998202;0.0001172530499786807
8;BBAS3.SA/SBSP3.SA;-538497.4396881929;1.8570190427999652e-06
