Ativo 1;Ativo 2;Valor-p
ABEV3.SA;LREN3.SA;0.0
ABEV3.SA;MGLU3.SA;0.0
ABEV3.SA;BEEF3.SA;0.0
ABEV3.SA;PETR3.SA;0.0
ABEV3.SA;PRIO3.SA;0.0
ABEV3.SA;RAIZ4.SA;0.0
ABEV3.SA;SANB11.SA;0.0
ABEV3.SA;SMTO3.SA;0.0
ABEV3.SA;CSNA3.SA;0.0
ABEV3.SA;SLCE3.SA;0.0
ABEV3.SA;SUZB3.SA;0.0
ABEV3.SA;TIMS3.SA;0.0
ABEV3.SA;TOTS3.SA;0.0
ABEV3.SA;VALE3.SA;0.0
ABEV3.SA;VIIA3.SA;0.0
ABEV3.SA;WEGE3.SA;0.0
ABEV3.SA;YDUQ3.SA;0.0
ARZZ3.SA;ASAI3.SA;0.0
ARZZ3.SA;B3SA3.SA;0.0
ARZZ3.SA;BBSE3.SA;0.0
ARZZ3.SA;BBDC3.SA;0.0
ARZZ3.SA;BBDC4.SA;0.0
ARZZ3.SA;BRAP4.SA;0.0
ARZZ3.SA;BBAS3.SA;0.0
ARZZ3.SA;BRFS3.SA;0.0
ARZZ3.SA;BPAC11.SA;0.0
ARZZ3.SA;CRFB3.SA;0.0
ARZZ3.SA;CCRO3.SA;0.0
ARZZ3.SA;COGN3.SA;0.0
ARZZ3.SA;CPFE3.SA;0.0
ARZZ3.SA;CMIN3.SA;0.0
ARZZ3.SA;ELET3.SA;0.0
ARZZ3.SA;ELET6.SA;0.0
ARZZ3.SA;EMBR3.SA;0.0
ARZZ3.SA;ENEV3.SA;0.0
ARZZ3.SA;EGIE3.SA;0.0
ARZZ3.SA;EQTL3.SA;0.0
ARZZ3.SA;EZTC3.SA;0.0
ARZZ3.SA;GOLL4.SA;0.0
ARZZ3.SA;IGTI11.SA;0.0
ARZZ3.SA;IRBR3.SA;0.0
ARZZ3.SA;ITSA4.SA;0.0
ARZZ3.SA;ITUB4.SA;0.0
ARZZ3.SA;JBSS3.SA;0.0
ARZZ3.SA;CASH3.SA;0.0
ARZZ3.SA;BEEF3.SA;0.0
ARZZ3.SA;MULT3.SA;0.0
ARZZ3.SA;PETR3.SA;0.0
ARZZ3.SA;PETR4.SA;0.0
ARZZ3.SA;PRIO3.SA;0.0
ARZZ3.SA;RAIZ4.SA;0.0
ARZZ3.SA;RDOR3.SA;0.0
ARZZ3.SA;RAIL3.SA;0.0
ARZZ3.SA;SANB11.SA;0.0
ARZZ3.SA;SMTO3.SA;0.0
